Date,Open,High,Low,Close,Volume,Adj Close
2011-11-07,399.91,400.00,396.13,399.73,9652700,398.02
2011-11-08,402.21,408.00,401.56,406.23,14301500,404.49
2011-11-09,396.97,400.89,394.23,395.28,19953000,393.59
2011-11-10,397.03,397.21,382.15,385.22,26598300,383.57
2011-11-11,386.61,388.70,380.26,384.62,23349500,382.98
2011-11-14,383.52,385.25,378.20,379.26,15460900,377.64
2011-11-15,380.80,389.50,379.45,388.83,15386100,387.17
2011-11-16,389.25,391.14,384.32,384.77,12471800,383.13
2011-11-17,383.98,384.58,375.50,377.41,17139300,375.80
2011-11-18,378.92,379.99,374.88,374.94,13283500,373.34
2011-11-21,370.40,371.68,365.91,369.01,15999300,367.43
2011-11-22,371.02,377.93,370.94,376.51,14607900,374.90
2011-11-23,374.51,375.84,366.88,366.99,15295400,365.42
2011-11-25,368.42,371.15,363.32,363.57,9098600,362.02
2011-11-28,372.35,376.72,370.33,376.12,12371900,374.51
2011-11-29,375.84,378.83,370.20,373.20,13423400,371.60
2011-11-30,381.29,382.28,378.30,382.20,14497800,380.57
2011-12-01,382.54,389.00,380.75,387.93,13827900,386.27
2011-12-02,389.83,393.63,388.58,389.70,13537700,388.03
2011-12-05,393.49,396.41,390.39,393.01,12757500,391.33
2011-12-06,392.51,394.63,389.38,390.95,10128500,389.28
2011-12-07,389.93,390.94,386.76,389.09,10883800,387.43
2011-12-08,391.45,395.50,390.23,390.66,13441300,388.99
2011-12-09,392.85,394.04,391.03,393.62,10606900,391.94
2011-12-12,391.68,393.90,389.45,391.84,10752400,390.16
2011-12-13,393.00,395.40,387.10,388.81,12104600,387.15
2011-12-14,386.70,387.38,377.68,380.19,14531700,378.56
2011-12-15,383.33,383.74,378.31,378.94,9150000,377.32
2011-12-16,380.36,384.15,379.57,381.02,15052800,379.39
2011-12-19,382.47,384.85,380.48,382.21,8411800,380.58
2011-12-20,387.76,396.10,387.26,395.95,12043400,394.26
2011-12-21,396.69,397.30,392.01,396.45,9391000,394.76
2011-12-22,397.00,399.13,396.10,398.55,7227100,396.85
2011-12-23,399.69,403.59,399.49,403.33,9621400,401.61
2011-12-27,403.10,409.09,403.02,406.53,9467000,404.79
2011-12-28,406.89,408.25,401.34,402.64,8166500,400.92
2011-12-29,403.40,405.65,400.51,405.12,7713500,403.39
2011-12-30,403.51,406.28,403.49,405.00,6416500,403.27
2012-01-03,409.40,412.50,409.00,411.23,10793600,409.47
2012-01-04,410.00,414.68,409.28,413.44,9286500,411.67
2012-01-05,414.95,418.55,412.67,418.03,9688200,416.24
2012-01-06,419.77,422.75,419.22,422.40,11367600,420.59
2012-01-09,425.50,427.75,421.35,421.73,14072300,419.93
2012-01-10,425.91,426.00,421.50,423.24,9221300,421.43
2012-01-11,422.68,422.85,419.31,422.55,7681600,420.74
2012-01-12,422.28,422.90,418.75,421.39,7592400,419.59
2012-01-13,419.70,420.45,418.66,419.81,8072200,418.02
2012-01-17,424.20,425.99,422.96,424.70,8674900,422.88
2012-01-18,426.96,429.47,426.30,429.11,9885400,427.28
2012-01-19,430.15,431.37,426.51,427.75,9347800,425.92
2012-01-20,427.49,427.50,419.75,420.30,14784800,418.50
2012-01-23,422.67,428.45,422.30,427.41,10930800,425.58
2012-01-24,425.10,425.10,419.55,420.41,19558500,418.61
2012-01-25,454.44,454.45,443.73,446.66,34225500,444.75
2012-01-26,448.36,448.79,443.14,444.63,11570900,442.73
2012-01-27,444.34,448.48,443.77,447.28,10703900,445.37
2012-01-30,445.71,453.90,445.39,453.01,13547900,451.07
2012-01-31,455.59,458.24,453.07,456.48,13988700,454.53
2012-02-01,458.41,458.99,455.55,456.19,9644500,454.24
